Title,Date
"Kolpaçino: Bir Şehir Efsanesi","11/20/24"
"Hunger","11/20/24"
"Alita: Battle Angel","11/20/24"
"Cloudy with a Chance of Meatballs","11/20/24"
"Arcane: Season 2: The Message Hidden Within the Pattern","11/16/24"
"Arcane: Season 2: Blisters and Bedrock","11/16/24"
"Arcane: Season 2: Paint the Town Blue","11/16/24"
"Arcane: Season 2: Finally Got the Name Right","11/16/24"
"Jake Paul vs. Mike Tyson","11/16/24"
"Arcane: Season 2: Watch It All Burn","11/16/24"
"Arcane: Season 2: Heavy Is the Crown","11/15/24"
"Arcane: Season 1: The Monster You Created","11/15/24"
"Arcane: Season 1: Oil and Water","11/15/24"
"Arcane: Season 1: The Boy Savior","11/15/24"
"Arcane: Season 1: When These Walls Come Tumbling Down","11/15/24"
"Arcane: Season 1: Everybody Wants to Be My Enemy","11/15/24"
"Arcane: Season 1: Happy Progress Day!","11/15/24"
"Arcane: Season 1: The Base Violence Necessary for Change","11/15/24"
"Arcane: Season 1: Some Mysteries Are Better Left Unsolved","11/15/24"
"Arcane: Season 1: Welcome to the Playground","11/15/24"
"The Life and Movies of Erşan Kuneri: Season 2: This Stingy Life","11/1/24"
"The Life and Movies of Erşan Kuneri: Season 1: Dry Murad","11/1/24"
"Car Masters: Rust to Riches: Season 5: Upping the Ante","10/20/24"
"The Life and Movies of Erşan Kuneri: Season 2: Sugar Pasha","10/18/24"
"The Life and Movies of Erşan Kuneri: Season 2: Stage Dust","10/18/24"
"Black Adam","10/12/24"
"The Life and Movies of Erşan Kuneri: Season 2: Bitter Father","10/12/24"
"The Life and Movies of Erşan Kuneri: Season 2: Wrapped Up: Yaprak","10/12/24"
"The Life and Movies of Erşan Kuneri: Season 2: Pastry Job","10/12/24"
"The Life and Movies of Erşan Kuneri: Season 2: Time to Slide","10/10/24"
"The Life and Movies of Erşan Kuneri: Season 2: A Bad Path - Prostitution","10/10/24"
"The Life and Movies of Erşan Kuneri: Season 1: Bad Stuff","10/10/24"
"The Platform 2","10/9/24"
"Erdal ile Ece","10/1/24"
"Midnight at the Pera Palace: Season 2: Episode 1","9/22/24"
"Get Out","9/20/24"
"Drink Masters: Enter The Bar","9/20/24"
"Paradise PD: Part 1: Ass on the Line","9/9/24"
"Paradise PD: Part 1: Welcome to Paradise","9/9/24"
"Shaun the Sheep: Adventures from Mossy Bottom: Baa-gherita / Get Your Goat","9/9/24"
"Miracle in Cell No. 7","8/29/24"
"The Umbrella Academy: Season 4: End of the Beginning","8/29/24"
"The Umbrella Academy: Season 4: Six Years, Five Months, and Two Days","8/24/24"
"The Umbrella Academy: Season 4: The Cleanse","8/21/24"
"The Umbrella Academy: Season 4: The Squid and the Girl","8/21/24"
"The Umbrella Academy: Season 4: Jean and Gene","8/21/24"
"The Umbrella Academy: Season 4: The Unbearable Tragedy of Getting What You Want","8/21/24"
"Black Mirror: Season 1: Fifteen Million Merits","8/7/24"
"Black Mirror: Season 2: White Christmas","8/7/24"
"Black Mirror: Season 6: Demon 79","8/7/24"
"Real Steel","8/5/24"
"Kleo: Season 1: Big Eden","8/5/24"
"Colour of Victory","7/31/24"
"The Gentlemen: Where's My Weed At?","7/5/24"
"The Gentlemen: Tackle Tommy Woo Woo","7/5/24"
"The Gentlemen: Refined Aggression","7/5/24"
"Supacell: Supacell","7/2/24"
"Supacell: Rodney","7/2/24"
"Supacell: Andre","7/2/24"
"Supacell: Sabrina","7/1/24"
"Supacell: Tazer","7/1/24"
"Supacell: Michael","7/1/24"
"Rick and Morty: Season 1: Pilot","7/1/24"
"Kübra: Season 2: Episode 8","6/30/24"
"Kübra: Season 2: Episode 7","6/26/24"
"Kübra: Season 2: Episode 6","6/26/24"
"Kübra: Season 2: Episode 5","6/24/24"
"Kübra: Season 2: Episode 4","6/24/24"
"Kübra: Season 2: Episode 3","6/24/24"
"The Guilty","6/17/24"
"Kübra: Season 2: Episode 2","6/16/24"
"Kübra: Season 2: Episode 1","6/16/24"
"The Final Table: Mexico","5/13/24"
"Now You See Me 2","5/13/24"
"Minions: The Rise of Gru","5/10/24"
"Mortal World 2","5/7/24"
"Now You See Me","4/22/24"
"G.O.R.A","4/20/24"
"Testament: The Story of Moses: Part One The Prophet","4/8/24"
"The Gentlemen: The Gospel According to Bobby Glass","3/25/24"
"The Gentlemen: Not Without Danger","3/25/24"
"The Gentlemen: All Eventualities","3/25/24"
"The Gentlemen: I've Hundreds of Cousins","3/25/24"
"The Gentlemen: An Unsympathetic Gentleman","3/25/24"
"Regular Show: Season 1: Caffeinated Concert Tickets","3/3/24"
"Regular Show: Season 1: Just Set Up the Chairs","3/3/24"
"Regular Show: Season 1: The Power","3/3/24"
"Money Monster","3/2/24"
"Adalet","3/2/24"
"Avatar The Last Airbender: Aang","2/28/24"
" ","2/21/24"
"Nowhere","2/19/24"
"Sixty Minutes","2/18/24"
"Minions & More Volume 1","2/14/24"
"Despicable Me 3","2/13/24"
"Despicable Me 2","2/13/24"
"Despicable Me","2/9/24"
"Rick and Morty: Season 7: Fear No Mort","2/9/24"
"Rick and Morty: Season 7: Mort: Ragnarick","2/9/24"
"Rick and Morty: Season 7: Rise of the Numbericons: The Movie","2/9/24"
"Rick and Morty: Season 7: Wet Kuat Amortican Summer","2/9/24"
"Rick and Morty: Season 7: Rickfending Your Mort","2/9/24"
"Rick and Morty: Season 7: Unmortricken","2/9/24"
"Rick and Morty: Season 7: That's Amorte","2/9/24"
"Rick and Morty: Season 7: Air Force Wong","2/9/24"
"Rick and Morty: Season 7: The Jerrick Trap","2/9/24"
"Rick and Morty: Season 7: How Poopy Got His Poop Back","2/9/24"
"Minions","2/1/24"
"Leo","1/31/24"
"Penguins of Madagascar: The Movie","1/31/24"
"Countdown","1/30/24"
"Kübra: Season 1: Episode 8","1/22/24"
"Kübra: Season 1: Episode 7","1/22/24"
"Kübra: Season 1: Episode 6","1/22/24"
"Kübra: Season 1: Episode 5","1/22/24"
"Kübra: Season 1: Episode 4","1/22/24"
"Kübra: Season 1: Episode 3","1/22/24"
"Kübra: Season 1: Episode 2","1/22/24"
"Kübra: Season 1: Episode 1","1/22/24"
"Berlin: Season 1: An Endangered Elephant","1/20/24"
"Berlin: Season 1: The Last Virgin in the Western World","1/19/24"
"Berlin: Season 1: Night of the Lemons","1/19/24"
"Berlin: Season 1: After Love","1/19/24"
"Berlin: Season 1: An Aquarium on Your Back","1/19/24"
"Berlin: Season 1: Full House of Embryos","1/19/24"
"Celal and Ceren","1/12/24"
"Berlin: Season 1: Anchor and Lobo","1/10/24"
"Berlin: Season 1: The Energy of Love","1/10/24"
"Kung Fu Panda: The Dragon Knight: Season 1: A Cause for the Paws","1/7/24"
"Kung Fu Panda 3","1/4/24"
"Mortal World","12/2/23"
"Creature: Limited Series: Voices In My Head","12/2/23"
"Creature: Limited Series: Heal Him","10/28/23"
"Wolf","10/28/23"
"Lupin: Part 3: Chapter 7","10/14/23"
"Lupin: Part 3: Chapter 6","10/14/23"
"Lupin: Part 3: Chapter 5","10/14/23"
"Lupin: Part 3: Chapter 4","10/14/23"
"Lupin: Part 3: Chapter 3","10/13/23"
"Lupin: Part 3: Chapter 2","10/13/23"
"Lupin: Part 3: Chapter 1","10/13/23"
"Nobody","9/29/23"
"Rick and Morty: Season 1: Lawnmower Dog","9/28/23"
"Black Mirror: Bandersnatch","9/27/23"
"Teenage Mutant Ninja Turtles 2","9/27/23"
"Teenage Mutant Ninja Turtles","9/27/23"
"Baby Gorilla Cam: Baby Time","9/27/23"
"Baby Gorilla Cam: Female Intuition","9/27/23"
"Baby Gorilla Cam: Pack Leader","9/27/23"
"Cem Yılmaz: Diamond Elite Platinum Plus","9/8/23"
"Ragnarok: Season 3: Ragnarok","9/8/23"
"Ragnarok: Season 3: A Farewell to Arms","9/8/23"
"Ragnarok: Season 3: My Precious","9/8/23"
"Ragnarok: Season 3: Losing My Religion","9/8/23"
"Ragnarok: Season 3: Till Death Do Us Part","9/8/23"
"Ragnarok: Season 3: War Is Over","9/7/23"
"Predators: Cheetah","9/7/23"
"Dances With the Jackals 6","9/7/23"
"Lupin: Part 2: Chapter 10","8/30/23"
"The Life and Movies of Erşan Kuneri: Season 1: Cooperative Kemal","8/22/23"
"The Life and Movies of Erşan Kuneri: Season 1: The Midwife's Hunt","8/22/23"
"The Life and Movies of Erşan Kuneri: Season 1: Er-Man","8/22/23"
"The Life and Movies of Erşan Kuneri: Season 1: Faqbadi","8/22/23"
"DEPP V HEARD: Limited Series: The Viral Verdict","8/22/23"
"DEPP V HEARD: Limited Series: Breaking the Internet","8/22/23"
"DEPP V HEARD: Limited Series: Truth on Trial","8/22/23"
"Kardeş Payı: Season 2: 34. Bölüm","8/20/23"
"Kardeş Payı: Season 2: 33. Bölüm","8/20/23"
"Kardeş Payı: Season 2: 32. Bölüm","8/20/23"
"Kardeş Payı: Season 2: 31. Bölüm","8/19/23"
"Kardeş Payı: Season 2: 30. Bölüm","8/18/23"
"Kardeş Payı: Season 2: 29. Bölüm","8/18/23"
"Kardeş Payı: Season 2: 28. Bölüm","8/18/23"
"Kardeş Payı: Season 2: 27. Bölüm","8/17/23"
"What Men Want","8/15/23"
"Battlebots: Season 3: Episode 3","8/15/23"
"Focus","8/15/23"
"Battlebots: Season 3: Episode 2","8/9/23"
"Battlebots: Season 3: Episode 1","8/9/23"
"Lupin: Part 2: Chapter 9","7/25/23"
"Lupin: Part 2: Chapter 8","7/25/23"
"Lupin: Part 2: Chapter 7","7/23/23"
"Lupin: Part 2: Chapter 6","7/23/23"
"Lupin: Part 1: Chapter 5","7/23/23"
"Lupin: Part 1: Chapter 4","7/23/23"
"Lupin: Part 1: Chapter 3","7/23/23"
"Lupin: Part 1: Chapter 2","7/22/23"
"Lupin: Part 1: Chapter 1","7/22/23"
"İllegal Hayatlar","7/18/23"
"Wanted","7/13/23"
"Black Mirror: Season 6: Mazey Day","7/9/23"
"Black Mirror: Season 6: Beyond the Sea","7/9/23"
"Black Mirror: Season 6: Loch Henry","7/9/23"
"You: Season 4: The Death of Jonathan Moore","7/6/23"
"You: Season 4: She's Not There","7/5/23"
"You: Season 4: Where Are You Going, Where Have You Been?","7/5/23"
"You: Season 4: Good Man, Cruel World","7/5/23"
"You: Season 4: Best of Friends","7/5/23"
"You: Season 4: The Fox and the Hound","7/4/23"
"You: Season 4: Hampsie","7/4/23"
"You: Season 4: Eat the Rich","7/2/23"
"You: Season 4: Portrait of the Artist","7/2/23"
"You: Season 4: Joe Takes a Holiday","7/2/23"
"You: Season 3: What Is Love?","7/2/23"
"You: Season 3: Red Flag","6/27/23"
"You: Season 3: Swing and a Miss","6/25/23"
"You: Season 3: We're All Mad Here","6/25/23"
"You: Season 3: W.O.M.B.","6/24/23"
"You: Season 3: Into the Woods","6/24/23"
"You: Season 3: Hands Across Madre Linda","6/24/23"
"You: Season 3: Missing White Woman Syndrome","6/24/23"
"You: Season 3: So I Married an Axe Murderer","6/21/23"
"You: Season 3: And They Lived Happily Ever After","6/21/23"
"You: Season 2: Love, Actually","6/21/23"
"You: Season 2: P.I. Joe","6/20/23"
"You: Season 2: Fear and Loathing in Beverly Hills","6/20/23"
"You: Season 2: Ex-istential Crisis","6/20/23"
"Black Mirror: Season 6: Joan Is Awful","6/18/23"
"Lucifer: Season 6: Partners 'Til the End","6/12/23"
"Lucifer: Season 6: Goodbye, Lucifer","6/12/23"
"Lucifer: Season 6: Save the Devil, Save the World","6/12/23"
"Lucifer: Season 6: My Best Fiend's Wedding","6/12/23"
"Lucifer: Season 6: A Lot Dirtier Than That","6/12/23"
"Lucifer: Season 6: The Murder of Lucifer Morningstar","6/12/23"
"Lucifer: Season 6: Pin the Tail on the Daddy","6/12/23"
"Lucifer: Season 6: Yabba Dabba Do Me","6/12/23"
"Lucifer: Season 6: Buckets of Baggage","6/12/23"
"Lucifer: Season 6: Nothing Ever Changes Around Here","6/12/23"
"Lucifer: Season 5: A Chance at a Happy Ending","6/12/23"
"Lucifer: Season 5: Is This Really How It's Going to End?!","6/11/23"
"Lucifer: Season 5: Nothing Lasts Forever","6/11/23"
"Lucifer: Season 5: A Little Harmless Stalking","6/11/23"
"Lucifer: Season 5: Daniel Espinoza: Naked and Afraid","6/11/23"
"Lucifer: Season 5: Resting Devil Face","6/11/23"
"Lucifer: Season 5: Bloody Celestial Karaoke Jam","6/11/23"
"Lucifer: Season 5: Family Dinner","6/11/23"
"Lucifer: Season 5: Spoiler Alert","6/11/23"
"Lucifer: Season 5: Our Mojo","6/11/23"
"Lucifer: Season 5: BlueBallz","6/11/23"
"Lucifer: Season 5: Detective Amenadiel","6/11/23"
"Lucifer: Season 5: It Never Ends Well for the Chicken","6/10/23"
"Lucifer: Season 5: ¡Diablo!","6/10/23"
